model,pair_case_type,n_predictions,correct_predictions,n_triplets,accuracy
gemini-3-flash-preview,lib-cons,246,212,246,0.8617886178861789
gemini-3-flash-preview,lib-lib,383,327,383,0.8537859007832899
gemini-3-flash-preview,cons-lib,319,271,319,0.8495297805642633
gemini-3-flash-preview,cons-cons,202,170,202,0.8415841584158416
grok-3-mini,lib-lib,383,311,383,0.8120104438642297
grok-4-1-fast-reasoning,cons-lib,319,259,319,0.8119122257053292
grok-4-1-fast-reasoning,lib-lib,383,310,383,0.8093994778067886
claude-haiku-4-5,lib-lib,383,302,383,0.7885117493472585
gpt-5-mini,lib-lib,383,302,383,0.7885117493472585
gemini-2.5-flash,lib-lib,383,298,383,0.7780678851174935
meta-llama/llama-3.3-70b-instruct,cons-lib,319,248,319,0.7774294670846394
gemini-2.5-flash,cons-lib,319,246,319,0.7711598746081505
claude-sonnet-4-6,lib-cons,246,189,246,0.7682926829268293
grok-3-mini,cons-lib,319,245,319,0.768025078369906
meta-llama/llama-3.3-70b-instruct,lib-lib,383,294,383,0.7676240208877284
claude-haiku-4-5,cons-lib,319,243,319,0.7617554858934169
gpt-5-mini,cons-lib,319,241,319,0.7554858934169278
grok-4-1-fast-reasoning,lib-cons,246,184,246,0.7479674796747967
claude-sonnet-4-6,lib-lib,383,286,383,0.7467362924281984
grok-3,lib-lib,383,285,383,0.7441253263707572
qwen/qwen3-32b,lib-lib,383,285,383,0.7441253263707572
grok-3,cons-lib,319,237,319,0.7429467084639498
claude-opus-4-6,lib-cons,246,182,246,0.7398373983739838
claude-sonnet-4-6,cons-lib,319,235,319,0.7366771159874608
claude-opus-4-6,lib-lib,383,282,383,0.7362924281984334
gpt-5.2,lib-cons,246,181,246,0.7357723577235772
qwen/qwen3-8b,lib-lib,383,281,383,0.7336814621409922
claude-opus-4-6,cons-lib,319,230,319,0.7210031347962382
gpt-5.2,lib-lib,383,274,383,0.7154046997389034
qwen/qwen3-32b,cons-lib,319,228,319,0.7147335423197492
claude-opus-4-6,cons-cons,202,144,202,0.7128712871287128
gpt-5-nano,lib-lib,383,272,383,0.7101827676240209
claude-sonnet-4-6,cons-cons,202,143,202,0.7079207920792079
gpt-5.2,cons-lib,319,224,319,0.7021943573667712
claude-haiku-4-5,lib-cons,246,170,246,0.6910569105691057
gemini-2.5-flash,lib-cons,246,170,246,0.6910569105691057
gpt-5-mini,lib-cons,246,170,246,0.6910569105691057
grok-3-mini,lib-cons,246,170,246,0.6910569105691057
grok-4-1-fast-reasoning,cons-cons,202,139,202,0.6881188118811881
gpt-5-nano,cons-lib,319,218,319,0.6833855799373041
gpt-5.2,cons-cons,202,138,202,0.6831683168316832
qwen/qwen3-8b,cons-lib,319,216,319,0.677115987460815
grok-3-mini,cons-cons,202,133,202,0.6584158415841584
qwen/qwen3-14b,lib-lib,383,252,383,0.6579634464751958
meta-llama/llama-3.2-1b-instruct,cons-lib,319,209,319,0.6551724137931034
grok-3,lib-cons,246,159,246,0.6463414634146342
gpt-4o-mini,lib-lib,383,247,383,0.6449086161879896
qwen/qwen3-32b,lib-cons,246,156,246,0.6341463414634146
gemini-2.5-flash,cons-cons,202,128,202,0.6336633663366337
gpt-5-mini,cons-cons,202,128,202,0.6336633663366337
grok-3,cons-cons,202,128,202,0.6336633663366337
gpt-4o-mini,cons-lib,319,202,319,0.6332288401253918
meta-llama/llama-3.3-70b-instruct,cons-cons,202,127,202,0.6287128712871287
claude-haiku-4-5,cons-cons,202,126,202,0.6237623762376238
qwen/qwen3-8b,cons-cons,202,124,202,0.6138613861386139
qwen/qwen3-14b,cons-lib,319,195,319,0.6112852664576802
meta-llama/llama-3.2-1b-instruct,lib-lib,383,233,383,0.608355091383812
gpt-5-nano,lib-cons,246,143,246,0.5813008130081301
qwen/qwen3-8b,lib-cons,246,143,246,0.5813008130081301
qwen/qwen3-32b,cons-cons,202,117,202,0.5792079207920792
qwen/qwen3-14b,cons-cons,202,116,202,0.5742574257425742
gpt-4o,lib-lib,383,219,383,0.5718015665796344
meta-llama/llama-3.3-70b-instruct,lib-cons,246,139,246,0.5650406504065041
gpt-4o,cons-cons,202,114,202,0.5643564356435643
gpt-5-nano,cons-cons,202,114,202,0.5643564356435643
gpt-4o,cons-lib,319,175,319,0.54858934169279
meta-llama/llama-3.1-8b-instruct,lib-lib,383,208,383,0.5430809399477807
meta-llama/llama-3.2-3b-instruct,lib-lib,383,207,383,0.5404699738903395
qwen/qwen3-14b,lib-cons,246,132,246,0.5365853658536586
meta-llama/llama-3.2-3b-instruct,cons-lib,319,170,319,0.5329153605015674
meta-llama/llama-3.1-8b-instruct,cons-lib,319,169,319,0.5297805642633229
meta-llama/llama-3.2-1b-instruct,cons-cons,202,107,202,0.5297029702970297
gpt-4o-mini,lib-cons,246,124,246,0.5040650406504065
meta-llama/llama-3.2-1b-instruct,lib-cons,246,122,246,0.4959349593495935
gpt-4o,lib-cons,246,121,246,0.491869918699187
meta-llama/llama-3.1-8b-instruct,cons-cons,202,99,202,0.4900990099009901
gpt-4o-mini,cons-cons,202,97,202,0.4801980198019802
meta-llama/llama-3.2-3b-instruct,lib-cons,246,111,246,0.45121951219512196
meta-llama/llama-3.2-3b-instruct,cons-cons,202,86,202,0.42574257425742573
meta-llama/llama-3.1-8b-instruct,lib-cons,246,103,246,0.4186991869918699
