family,model,ground_truth_side,n_predictions,correct_predictions,n_triplets,accuracy
gemini,gemini-3-flash-preview,conservative,1764,1496,882,0.8480725623582767
gemini,gemini-3-flash-preview,liberal,1764,1490,882,0.844671201814059
grok,grok-3-mini,liberal,1764,1478,882,0.8378684807256236
grok,grok-4-1-fast-reasoning,liberal,1764,1442,882,0.8174603174603174
grok,grok-3,liberal,1764,1428,882,0.8095238095238095
llama,meta-llama/llama-3.3-70b-instruct,liberal,1764,1414,882,0.8015873015873016
gemini,gemini-2.5-flash,liberal,1764,1408,882,0.7981859410430839
qwen,qwen/qwen3-8b,liberal,1764,1400,882,0.7936507936507936
openai,gpt-5.2,liberal,1764,1396,882,0.7913832199546486
grok,grok-4-1-fast-reasoning,conservative,1764,1390,882,0.7879818594104309
qwen,qwen/qwen3-32b,liberal,1764,1362,882,0.7721088435374149
openai,gpt-4o,liberal,1764,1338,882,0.7585034013605442
claude,claude-opus-4-6,conservative,1764,1320,882,0.7482993197278912
claude,claude-haiku-4-5,liberal,1764,1318,882,0.7471655328798186
claude,claude-sonnet-4-6,conservative,1764,1308,882,0.7414965986394558
gemini,gemini-2.5-flash,conservative,1764,1308,882,0.7414965986394558
qwen,qwen/qwen3-14b,liberal,1764,1306,882,0.7403628117913832
claude,claude-opus-4-6,liberal,1764,1294,882,0.7335600907029478
claude,claude-sonnet-4-6,liberal,1764,1286,882,0.7290249433106576
grok,grok-3-mini,conservative,1764,1274,882,0.7222222222222222
openai,gpt-5-mini,liberal,1764,1272,882,0.7210884353741497
openai,gpt-5.2,conservative,1764,1254,882,0.7108843537414966
grok,grok-3,conservative,1764,1248,882,0.7074829931972789
openai,gpt-5-nano,liberal,1764,1248,882,0.7074829931972789
openai,gpt-4o-mini,liberal,1764,1244,882,0.7052154195011338
openai,gpt-5-mini,conservative,1764,1204,882,0.6825396825396826
claude,claude-haiku-4-5,conservative,1764,1202,882,0.68140589569161
qwen,qwen/qwen3-8b,conservative,1764,1168,882,0.6621315192743764
qwen,qwen/qwen3-32b,conservative,1764,1166,882,0.6609977324263039
openai,gpt-4o,conservative,1764,1164,882,0.6598639455782312
llama,meta-llama/llama-3.3-70b-instruct,conservative,1764,1152,882,0.6530612244897959
openai,gpt-5-nano,conservative,1764,1136,882,0.6439909297052154
qwen,qwen/qwen3-14b,conservative,1764,1102,882,0.6247165532879818
llama,meta-llama/llama-3.2-3b-instruct,liberal,1764,1084,882,0.6145124716553289
llama,meta-llama/llama-3.2-1b-instruct,liberal,1764,1054,882,0.5975056689342404
openai,gpt-4o-mini,conservative,1764,1006,882,0.5702947845804989
llama,meta-llama/llama-3.2-1b-instruct,conservative,1764,962,882,0.5453514739229025
llama,meta-llama/llama-3.2-3b-instruct,conservative,1764,960,882,0.54421768707483
llama,meta-llama/llama-3.1-8b-instruct,liberal,1764,950,882,0.5385487528344671
llama,meta-llama/llama-3.1-8b-instruct,conservative,1764,826,882,0.46825396825396826
