family,model,n_predictions,n_triplets,ideology_predictions,ideology_errors,liberal_answer_rate,conservative_answer_rate,liberal_leaning_errors,conservative_leaning_errors,bias_score,error_rate
claude,claude-haiku-4-5,3528,1764,3528,1008,0.4801587301587302,0.4155328798185941,376,264,0.1111111111111111,0.2857142857142857
claude,claude-opus-4-6,3528,1764,3528,914,0.41836734693877553,0.4399092970521542,182,232,-0.05470459518599562,0.2590702947845805
claude,claude-sonnet-4-6,3528,1764,3528,934,0.4217687074829932,0.4331065759637188,202,220,-0.019271948608137045,0.2647392290249433
gemini,gemini-2.5-flash,3528,1764,3528,812,0.4954648526077097,0.44501133786848074,340,262,0.0960591133004926,0.23015873015873015
gemini,gemini-3-flash-preview,3528,1764,3528,542,0.47392290249433106,0.4767573696145125,182,186,-0.007380073800738007,0.1536281179138322
grok,grok-3,3528,1764,3528,852,0.5294784580498866,0.4370748299319728,440,294,0.17136150234741784,0.24149659863945577
grok,grok-3-mini,3528,1764,3528,776,0.5306122448979592,0.4308390022675737,394,246,0.19072164948453607,0.2199546485260771
grok,grok-4-1-fast-reasoning,3528,1764,3528,696,0.49829931972789115,0.46598639455782315,316,254,0.08908045977011494,0.19727891156462585
llama,meta-llama/llama-3.1-8b-instruct,3528,1764,3528,1752,0.42970521541950113,0.35714285714285715,566,434,0.07534246575342465,0.4965986394557823
llama,meta-llama/llama-3.2-1b-instruct,3528,1764,3528,1512,0.477891156462585,0.40532879818594103,632,468,0.10846560846560846,0.42857142857142855
llama,meta-llama/llama-3.2-3b-instruct,3528,1764,3528,1484,0.4852607709750567,0.3934240362811791,628,428,0.1347708894878706,0.42063492063492064
llama,meta-llama/llama-3.3-70b-instruct,3528,1764,3528,962,0.5595238095238095,0.4126984126984127,560,304,0.2661122661122661,0.27267573696145125
openai,gpt-4o,3528,1764,3528,1026,0.4965986394557823,0.4064625850340136,414,270,0.14035087719298245,0.29081632653061223
openai,gpt-4o-mini,3528,1764,3528,1278,0.5447845804988662,0.4036281179138322,678,418,0.20344287949921752,0.3622448979591837
openai,gpt-5-mini,3528,1764,3528,1052,0.4433106575963719,0.40249433106575966,292,216,0.07224334600760456,0.2981859410430839
openai,gpt-5-nano,3528,1764,3528,1144,0.4603174603174603,0.3866213151927438,376,228,0.12937062937062938,0.3242630385487528
openai,gpt-5.2,3528,1764,3528,878,0.477891156462585,0.41723356009070295,290,218,0.08200455580865604,0.24886621315192745
qwen,qwen/qwen3-14b,3528,1764,3528,1120,0.49036281179138325,0.391156462585034,424,278,0.13035714285714287,0.31746031746031744
qwen,qwen/qwen3-32b,3528,1764,3528,1000,0.5045351473922902,0.4087301587301587,418,276,0.142,0.2834467120181406
qwen,qwen/qwen3-8b,3528,1764,3528,960,0.5311791383219955,0.4075963718820862,474,270,0.2125,0.272108843537415
